Affluence,Disadvantage,Violent,UrbanRate,Latitude,Longtitude,avemort
0.317594514,-0.409487053,0.51458,0.33327,34.81,-86.981,1.0322
-0.795668281,2.054564244,1.3624,0,32.148,-86.651,1.187
-0.272079176,2.314640653,1.2521,0.50653,32.387,-85.693,1.1839
1.92693342,-0.118919185,1.7065,0.77082,34.764,-86.551,0.99104
-0.366911061,0.955800359,1.7288,0.295,32.248,-87.791,1.1016
-0.842258196,0.351453078,0.13237,0.0030115,34.138,-87.882,1.0764
-0.180279139,-0.134662855,0.85252,0.42618,34.31,-86.322,1.1372
0.246907218,0.621986233,1.8122,0.80304,30.685,-88.197,1.1262
-0.480948092,0.702644151,2.1679,0.21534,31.58,-87.383,1.0548
1.015784801,0.500029286,2.0259,0.88147,32.204,-86.204,1.0687
0.384313557,-0.304931418,-2.5642,0.56371,34.454,-86.846,1.0659
-0.831928738,2.695295216,-0.74773,0,32.639,-87.294,1.1864
-0.778631169,0.886602469,0.36276,0,33.297,-88.097,1.1167
-0.253123746,1.126375981,1.6478,0.39777,31.799,-85.942,1.1413
-0.793245201,-0.165640712,1.0511,0.21501,33.296,-85.464,1.1187
-0.715534318,0.574063606,1.3117,0.63711,32.29,-85.187,1.2396
-0.076120652,-0.616953628,0.11833,0.12307,33.713,-86.316,1.1173
2.496660601,-1.081455579,-0.28002,0.64327,33.263,-86.678,0.93775
-0.918808508,2.225000306,-0.000719,0,32.597,-88.2,1.0684
-0.438530272,0.507183592,0.056607,0.44679,33.369,-86.176,1.1876
-0.218266451,0.059856763,1.2178,0.24128,32.863,-85.8,1.1309
0.703150994,0.063083712,2.0838,0.70661,33.29,-87.523,1.0748
-0.553095935,0.008145431,-0.24117,0.22733,33.792,-87.301,1.263
-0.796445373,0.401714175,-0.26428,0,31.405,-88.198,1.1287
-1.036560416,3.31214502,0.85919,0,31.99,-87.302,1.1981
-0.821507608,-0.121555637,0.37613,0.16383,34.156,-87.364,1.1398
-0.892992509,5.422141073,0.29615,0.2392,35.385,-109.49,1.0345
0.071628417,0.345024189,1.3731,0.66378,31.84,-109.78,0.92599
1.059530755,0.438550428,1.4384,0.64015,35.83,-111.77,0.83372
-0.230078477,1.074700667,1.5607,0.55987,33.79,-110.81,0.99675
-0.67647917,1.89001577,0.64106,0.4428,32.932,-109.88,0.98695
-0.624776022,0.112632762,-0.65725,0.50591,33.239,-109.24,0.92941
-0.926075811,0.369541664,0.6053,0.43353,33.728,-114.04,0.73902
1.456579185,-0.360135261,1.7118,0.97055,33.347,-112.5,0.86475
-0.525559576,0.251156844,1.1691,0.75553,35.718,-113.75,1.0443
-0.516367356,2.497899639,1.0789,0.42,35.391,-110.32,1.0083
1.023011961,-0.01689457,1.8866,0.91516,32.128,-111.78,0.88696
-0.292487036,0.652897192,1.7939,0.64588,32.919,-111.37,0.86691
-0.301203487,0.756047927,1.2229,0.67583,31.526,-110.85,0.75524
0.412048247,-0.433073586,1.2618,0.62598,34.63,-112.57,0.86732
-0.384560775,1.418938586,1.4457,0.86895,32.774,-113.91,0.73902
-0.571421325,0.274964374,1.6159,0.63136,34.29,-91.377,1.1406
-0.60102833,0.413356704,1.2836,0.49122,33.191,-91.772,1.1248
-0.51374232,-0.66434147,0.65328,0.32637,36.281,-92.33,0.96918
0.64449658,-0.85914863,0.34581,0.58678,36.338,-94.256,0.85678
-0.560983637,-0.305582972,0.39812,0.38474,36.304,-93.079,0.9571
-0.772726271,1.300763292,0.27728,0.47849,33.467,-92.169,1.1528
-1.150284592,-0.226364143,0.48505,0,33.56,-92.514,1.0183
-0.4411802,-0.273666933,0.97354,0.28387,36.338,-93.542,0.92952
-0.707743305,1.788044449,1.3751,0.61947,33.267,-91.297,1.1568
