xx,yy
-121.9311447,36.53752136
-121.2149582,35.68381119
-120.6935577,35.17387772
-120.6076202,34.5837326
-119.7768326,34.43476486
-118.8085327,34.03942108
-118.6595688,34.05088043
-118.2470322,33.73575592
-117.5824051,33.43209076
-117.1125717,32.61848831
-114.7348022,32.73308182
-114.7978134,32.57838058
-111.3887253,31.44392395
-108.9020844,31.34652138
-108.2317276,31.35225105
-108.2202682,31.78769684
-106.3409653,31.67310715
-105.0174332,30.66470146
-104.5361481,29.65056419
-103.3902359,29.01458168
-103.0751114,29.08906937
-102.8115463,29.52451324
-102.3646393,29.85110283
-101.4077988,29.742239
